fraction	e_atm_r	e_atm_i	e_ice_r	e_ice_imag	Mice_real	Mice_imag	e_r	e_i	M-re	M_im
0.7	1	0	3.17657	-0.00251743	1.78229	-0.000706234	2.25125	-0.00118852	1.50042	-0.000396062
0.71	1	0	3.17657	-0.00251743	1.78229	-0.000706234	2.27674	-0.00121999	1.50889	-0.000404269
0.72	1	0	3.17657	-0.00251743	1.78229	-0.000706234	2.30253	-0.00125214	1.51741	-0.000412592
0.73	1	0	3.17657	-0.00251743	1.78229	-0.000706234	2.32863	-0.00128498	1.52598	-0.000421034
0.74	1	0	3.17657	-0.00251743	1.78229	-0.000706234	2.35505	-0.00131853	1.53462	-0.000429597
0.75	1	0	3.17657	-0.00251743	1.78229	-0.000706234	2.3818	-0.00135282	1.54331	-0.000438285
0.76	1	0	3.17657	-0.00251743	1.78229	-0.000706234	2.40887	-0.00138785	1.55205	-0.000447101
0.77	1	0	3.17657	-0.00251743	1.78229	-0.000706234	2.43629	-0.00142365	1.56086	-0.000456046
0.78	1	0	3.17657	-0.00251743	1.78229	-0.000706234	2.46404	-0.00146024	1.56973	-0.000465126
0.79	1	0	3.17657	-0.00251743	1.78229	-0.000706234	2.49215	-0.00149764	1.57865	-0.000474342
0.8	1	0	3.17657	-0.00251743	1.78229	-0.000706234	2.52061	-0.00153588	1.58764	-0.000483698
0.81	1	0	3.17657	-0.00251743	1.78229	-0.000706234	2.54943	-0.00157497	1.59669	-0.000493198
0.82	1	0	3.17657	-0.00251743	1.78229	-0.000706234	2.57863	-0.00161495	1.60581	-0.000502844
0.83	1	0	3.17657	-0.00251743	1.78229	-0.000706234	2.6082	-0.00165582	1.61499	-0.000512641
0.84	1	0	3.17657	-0.00251743	1.78229	-0.000706234	2.63816	-0.00169763	1.62424	-0.000522592
0.85	1	0	3.17657	-0.00251743	1.78229	-0.000706234	2.6685	-0.00174039	1.63356	-0.000532701
0.86	1	0	3.17657	-0.00251743	1.78229	-0.000706234	2.69925	-0.00178414	1.64294	-0.000542972
0.87	1	0	3.17657	-0.00251743	1.78229	-0.000706234	2.73041	-0.0018289	1.65239	-0.000553409
0.88	1	0	3.17657	-0.00251743	1.78229	-0.000706234	2.76198	-0.0018747	1.66192	-0.000564015
0.89	1	0	3.17657	-0.00251743	1.78229	-0.000706234	2.79397	-0.00192156	1.67152	-0.000574796
0.9	1	0	3.17657	-0.00251743	1.78229	-0.000706234	2.8264	-0.00196953	1.68119	-0.000585755
0.91	1	0	3.17657	-0.00251743	1.78229	-0.000706234	2.85927	-0.00201863	1.69094	-0.000596897
0.92	1	0	3.17657	-0.00251743	1.78229	-0.000706234	2.89259	-0.0020689	1.70076	-0.000608227
0.93	1	0	3.17657	-0.00251743	1.78229	-0.000706234	2.92638	-0.00212037	1.71067	-0.00061975
0.94	1	0	3.17657	-0.00251743	1.78229	-0.000706234	2.96063	-0.00217307	1.72065	-0.00063147
0.95	1	0	3.17657	-0.00251743	1.78229	-0.000706234	2.99536	-0.00222705	1.73071	-0.000643392
0.96	1	0	3.17657	-0.00251743	1.78229	-0.000706234	3.03058	-0.00228234	1.74086	-0.000655523
0.97	1	0	3.17657	-0.00251743	1.78229	-0.000706234	3.0663	-0.00233898	1.75109	-0.000667866
0.98	1	0	3.17657	-0.00251743	1.78229	-0.000706234	3.10253	-0.00239701	1.7614	-0.000680429
0.99	1	0	3.17657	-0.00251743	1.78229	-0.000706234	3.13928	-0.00245648	1.7718	-0.000693216
