Trace Gases																												
Altitude	H2O	CO2	O3	N2O	CO	CH4	O2	NO	SO2	NO2	NH3	HNO3	OH	HF	HCl	HBr	HI	ClO	OCS	H2CO	HOCl	N2	HCN	CH3Cl	H2O2	C2H2	C2H6	PH3
km	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv
20	3.9	330	2.58E+00	0.237	1.33E-02	1.42	2.09E+05	2.55E-04	3.19E-05	1.39E-03	2.41E-08	4.20E-03	2.16E-07	5.77E-05	4.89E-04	1.70E-06	3.00E-06	4.64E-06	2.41E-04	3.43E-05	3.07E-05	7.81E-05	1.37E-04	3.69E-04	3.68E-06	3.10E-07	6.01E-05	1.00E-14
21	3.98	330	3.03E+00	0.219	1.23E-02	1.36	2.09E+05	2.77E-04	2.67E-05	1.76E-03	1.92E-08	4.94E-03	3.40E-07	7.77E-05	5.22E-04	1.70E-06	3.00E-06	8.15E-06	2.14E-04	3.68E-05	4.29E-05	7.81E-05	1.34E-04	3.43E-04	5.62E-06	1.89E-07	4.57E-05	1.00E-14
22	4.07	330	3.65E+00	0.205	1.23E-02	1.27	2.09E+05	3.07E-04	2.28E-05	2.16E-03	1.72E-08	5.46E-03	5.09E-07	9.90E-05	5.49E-04	1.70E-06	3.00E-06	1.07E-05	1.88E-04	4.03E-05	5.76E-05	7.81E-05	1.30E-04	3.17E-04	1.03E-05	1.04E-07	3.40E-05	1.00E-14
23	4.2	330	4.17E+00	0.197	1.31E-01	1.19	2.09E+05	3.60E-04	2.07E-05	2.58E-03	1.59E-08	5.74E-03	7.59E-07	1.23E-04	5.75E-04	1.70E-06	3.00E-06	1.52E-05	1.64E-04	4.50E-05	7.65E-05	7.81E-05	1.25E-04	2.86E-04	1.97E-05	5.75E-08	2.60E-05	1.00E-14
24	4.3	330	4.63E+00	0.188	1.40E-02	1.12	2.09E+05	4.51E-04	1.90E-05	3.06E-03	1.44E-08	5.84E-03	1.16E-06	1.50E-04	6.04E-04	1.70E-06	3.00E-06	2.24E-05	1.37E-04	5.06E-05	9.92E-05	7.81E-05	1.19E-04	2.48E-04	3.70E-05	2.23E-08	1.89E-05	1.00E-14
25	4.43	330	5.12E+00	0.176	1.50E-02	1.06	2.09E+05	6.85E-04	1.75E-05	3.74E-03	1.23E-08	5.61E-03	2.18E-06	1.82E-04	6.51E-04	1.71E-06	3.00E-06	3.97E-05	1.08E-04	5.82E-05	1.31E-04	7.81E-05	1.13E-04	1.94E-04	6.20E-05	8.51E-09	1.22E-05	1.00E-14
27.5	4.58	330	5.80E+00	0.159	1.60E-02	0.987	2.09E+05	1.28E-03	1.54E-05	4.81E-03	9.37E-09	4.82E-03	5.00E-06	2.30E-04	7.51E-04	1.76E-06	3.00E-06	8.48E-05	6.70E-05	7.21E-05	1.84E-04	7.81E-05	1.05E-04	1.10E-04	1.03E-04	4.09E-09	5.74E-06	1.00E-14
30	4.73	330	6.55E+00	0.142	1.71E-02	0.914	2.09E+05	2.45E-03	1.34E-05	6.16E-03	6.35E-09	3.74E-03	1.17E-05	2.83E-04	9.88E-04	1.90E-06	3.00E-06	1.85E-04	2.96E-05	8.73E-05	2.45E-04	7.81E-05	9.73E-05	4.72E-05	1.36E-04	2.52E-09	2.14E-06	1.00E-14
32.5	4.83	330	7.37E+00	0.117	1.85E-02	0.83	2.09E+05	4.53E-03	1.21E-05	7.21E-03	3.68E-09	2.59E-03	3.40E-05	3.20E-04	1.28E-03	2.26E-06	3.00E-06	3.57E-04	1.21E-05	1.01E-04	2.96E-04	7.81E-05	9.04E-05	1.79E-05	1.36E-04	1.86E-09	8.49E-07	1.00E-14
35	4.9	330	7.84E+00	9.28E-02	2.01E-02	7.46E-01	2.09E+05	7.14E-03	1.16E-05	7.28E-03	1.82E-09	1.64E-03	8.35E-05	3.48E-04	1.57E-03	2.82E-06	3.00E-06	5.08E-04	4.31E-06	1.11E-04	3.21E-04	7.81E-05	8.46E-05	7.35E-06	1.13E-04	1.52E-09	3.42E-07	1.00E-14
37.5	4.95	330	7.80E+00	6.69E-02	2.22E-02	6.62E-01	2.09E+05	9.34E-03	1.21E-05	6.26E-03	9.26E-10	9.68E-04	1.70E-04	3.72E-04	1.69E-03	3.69E-06	3.00E-06	6.07E-04	1.60E-06	1.13E-04	3.04E-04	7.81E-05	8.02E-05	3.03E-06	8.51E-05	1.32E-09	1.34E-07	1.00E-14
40	5.03	330	7.30E+00	4.51E-02	2.50E-02	5.64E-01	2.09E+05	1.20E-02	1.36E-05	4.03E-03	2.94E-10	5.33E-04	2.85E-04	3.95E-04	1.74E-03	4.91E-06	3.00E-06	5.95E-04	6.71E-07	1.03E-04	2.48E-04	7.81E-05	7.63E-05	1.32E-06	6.37E-05	1.18E-09	5.39E-08	1.00E-14
42.5	5.15	330	6.20E+00	2.75E-02	2.82E-02	4.61E-01	2.09E+05	1.90E-02	1.65E-05	2.17E-03	8.72E-11	2.52E-04	4.06E-04	4.10E-04	1.76E-03	6.13E-06	3.00E-06	4.33E-04	4.35E-07	7.95E-05	1.64E-04	7.81E-05	7.30E-05	8.69E-07	5.17E-05	1.08E-09	2.25E-08	1.00E-14
