Profile	TRP+Aux																														
Altitude	Pres	Temp	Density	H2O	O3	N2O	CO	CH4	CO2	O2	NO	SO2	NO2	NH3	HNO3	OH	HF	HCl	HBr	HI	ClO	OCS	H2CO	HOCl	N2	HCN	CH3Cl	H2O2	C2H2	C2H6	PH3
km	mb	K	cm^-3	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv
11	247	230.1	7.78E+18	7.31E+01	6.61E-02	3.14E-01	8.96E-02	1.68E+00	330	2.09E+05	3.00E-04	5.79E-05	2.62E-05	1.09E-05	2.02E-04	4.80E-08	1.20E-06	4.59E-05	1.70E-06	3.00E-06	1.87E-08	5.09E-04	3.43E-05	4.65E-06	7.81E-05	1.60E-04	5.79E-04	3.30E-05	2.08E-05	1.30E-03	1.00E-14
12	213	223.6	6.90E+18	2.91E+01	7.82E-02	3.10E-01	7.81E-02	1.66E+00	330	2.09E+05	3.00E-04	5.60E-05	3.15E-05	6.30E-06	2.41E-04	4.94E-08	1.96E-06	4.36E-05	1.70E-06	3.00E-06	3.18E-08	4.98E-04	3.39E-05	5.01E-06	7.81E-05	1.60E-04	5.66E-04	1.95E-05	1.76E-05	9.86E-04	1.00E-14
13	182	217	6.08E+18	9.90E+00	9.29E-02	3.05E-01	6.37E-02	1.65E+00	330	2.09E+05	2.99E-04	5.59E-05	4.45E-05	3.12E-06	2.76E-04	5.19E-08	3.12E-06	6.51E-05	1.70E-06	3.00E-06	5.61E-08	4.82E-04	3.50E-05	5.22E-06	7.81E-05	1.59E-04	5.48E-04	1.08E-05	1.23E-05	7.22E-04	1.00E-14
14	156	210.3	5.38E+18	6.22E+00	1.05E-01	3.00E-01	5.03E-02	1.63E+00	330	2.09E+05	2.95E-04	5.64E-05	7.48E-05	1.11E-06	3.33E-04	5.65E-08	4.62E-06	1.01E-04	1.70E-06	3.00E-06	9.99E-08	4.60E-04	3.65E-05	5.60E-06	7.81E-05	1.57E-04	5.28E-04	6.59E-06	7.32E-06	4.96E-04	1.00E-14
15	132	203.7	4.70E+18	4.00E+00	1.26E-01	2.94E-01	3.94E-02	1.61E+00	330	2.09E+05	2.83E-04	5.75E-05	1.71E-04	4.47E-07	4.52E-04	6.75E-08	7.09E-06	1.63E-04	1.70E-06	3.00E-06	1.78E-07	4.26E-04	3.62E-05	6.86E-06	7.81E-05	1.55E-04	5.03E-04	4.20E-06	4.52E-06	3.35E-04	1.00E-14
16	111	197	4.08E+18	3.00E+00	1.44E-01	2.88E-01	3.07E-02	1.58E+00	330	2.09E+05	2.68E-04	5.75E-05	3.19E-04	2.11E-07	7.37E-04	8.25E-08	1.05E-05	2.37E-04	1.70E-06	3.00E-06	3.16E-07	3.88E-04	3.58E-05	8.77E-06	7.81E-05	1.52E-04	4.77E-04	2.94E-06	2.59E-06	2.14E-04	1.00E-14
17	93.7	194.8	3.49E+18	2.90E+00	2.50E-01	2.78E-01	2.49E-02	1.55E+00	330	2.09E+05	2.52E-05	5.37E-05	5.19E-04	1.10E-07	1.31E-03	1.04E-07	1.69E-05	3.13E-04	1.70E-06	3.00E-06	5.65E-07	3.48E-04	3.50E-05	1.20E-05	7.81E-05	1.49E-04	4.49E-04	2.30E-06	1.55E-06	1.49E-04	1.00E-14
18	78.9	198.8	2.88E+18	2.75E+00	5.00E-01	2.67E-01	1.97E-02	1.52E+00	330	2.09E+05	2.40E-04	4.78E-05	7.71E-04	6.70E-08	2.11E-03	1.30E-07	2.57E-05	3.85E-04	1.70E-06	3.00E-06	1.04E-06	3.09E-04	3.42E-05	1.63E-05	7.81E-05	1.45E-04	4.21E-04	2.24E-06	8.63E-07	1.05E-04	1.00E-14
19	66.6	202.7	2.38E+18	2.60E+00	9.50E-01	2.53E-01	1.55E-02	1.48E+00	330	2.09E+05	2.44E-04	3.97E-05	1.06E-03	3.97E-08	3.17E-03	1.64E-07	4.02E-05	4.42E-04	1.70E-06	3.00E-06	2.04E-06	2.74E-04	3.39E-05	2.26E-05	7.81E-05	1.41E-04	3.95E-04	2.68E-06	5.30E-07	7.96E-05	1.00E-14
20	56.5	206.7	1.98E+18	2.60E+00	1.40E+00	2.37E-01	1.33E-02	1.42E+00	330	2.09E+05	2.55E-04	3.19E-05	1.39E-03	2.41E-08	4.20E-03	2.16E-07	5.77E-05	4.89E-04	1.70E-06	3.00E-06	4.64E-06	2.41E-04	3.43E-05	3.07E-05	7.81E-05	1.37E-04	3.69E-04	3.68E-06	3.10E-07	6.01E-05	1.00E-14
21	48	210.7	1.65E+18	2.65E+00	1.80E+00	2.19E-01	1.23E-02	1.36E+00	330	2.09E+05	2.77E-04	2.67E-05	1.76E-03	1.92E-08	4.94E-03	3.40E-07	7.77E-05	5.22E-04	1.70E-06	3.00E-06	8.15E-06	2.14E-04	3.68E-05	4.29E-05	7.81E-05	1.34E-04	3.43E-04	5.62E-06	1.89E-07	4.57E-05	1.00E-14
22	40.9	214.6	1.38E+18	2.80E+00	2.40E+00	2.05E-01	1.23E-02	1.27E+00	330	2.09E+05	3.07E-04	2.28E-05	2.16E-03	1.72E-08	5.46E-03	5.09E-07	9.90E-05	5.49E-04	1.70E-06	3.00E-06	1.07E-05	1.88E-04	4.03E-05	5.76E-05	7.81E-05	1.30E-04	3.17E-04	1.03E-05	1.04E-07	3.40E-05	1.00E-14
23	35	217	1.17E+18	2.90E+00	3.40E+00	1.97E-01	1.31E-02	1.19E+00	330	2.09E+05	3.60E-04	2.07E-05	2.58E-03	1.59E-08	5.74E-03	7.59E-07	1.23E-04	5.75E-04	1.70E-06	3.00E-06	1.52E-05	1.64E-04	4.50E-05	7.65E-05	7.81E-05	1.25E-04	2.86E-04	1.97E-05	5.75E-08	2.60E-05	1.00E-14
24	30	219.2	9.92E+17	3.20E+00	4.30E+00	1.88E-01	1.40E-02	1.12E+00	330	2.09E+05	4.51E-04	1.90E-05	3.06E-03	1.44E-08	5.84E-03	1.16E-06	1.50E-04	6.04E-04	1.70E-06	3.00E-06	2.24E-05	1.37E-04	5.06E-05	9.92E-05	7.81E-05	1.19E-04	2.48E-04	3.70E-05	2.23E-08	1.89E-05	1.00E-14
25	25.7	221.4	8.41E+17	3.25E+00	5.40E+00	1.76E-01	1.52E-02	1.06E+00	330	2.09E+05	6.85E-04	1.75E-05	3.74E-03	1.23E-08	5.61E-03	2.18E-06	1.82E-04	6.51E-04	1.71E-06	3.00E-06	3.97E-05	1.08E-04	5.82E-05	1.31E-04	7.81E-05	1.13E-04	1.94E-04	6.20E-05	8.51E-09	1.22E-05	1.00E-14
27.5	17.63	227	5.62E+17	3.60E+00	7.80E+00	1.59E-01	1.72E-02	9.87E-01	330	2.09E+05	1.28E-03	1.54E-05	4.81E-03	9.37E-09	4.82E-03	5.00E-06	2.30E-04	7.51E-04	1.76E-06	3.00E-06	8.48E-05	6.70E-05	7.21E-05	1.84E-04	7.81E-05	1.05E-04	1.10E-04	1.03E-04	4.09E-09	5.74E-06	1.00E-14
30	12.2	232.3	3.81E+17	4.00E+00	9.30E+00	1.42E-01	2.00E-02	9.14E-01	330	2.09E+05	2.45E-03	1.34E-05	6.16E-03	6.35E-09	3.74E-03	1.17E-05	2.83E-04	9.88E-04	1.90E-06	3.00E-06	1.85E-04	2.96E-05	8.73E-05	2.45E-04	7.81E-05	9.73E-05	4.72E-05	1.36E-04	2.52E-09	2.14E-06	1.00E-14
32.5	8.52	237.7	2.60E+17	4.30E+00	9.85E+00	1.17E-01	2.70E-02	8.30E-01	330	2.09E+05	4.53E-03	1.21E-05	7.21E-03	3.68E-09	2.59E-03	3.40E-05	3.20E-04	1.28E-03	2.26E-06	3.00E-06	3.57E-04	1.21E-05	1.01E-04	2.96E-04	7.81E-05	9.04E-05	1.79E-05	1.36E-04	1.86E-09	8.49E-07	1.00E-14
35	6	243.1	1.79E+17	4.60E+00	9.70E+00	9.28E-02	2.49E-02	7.46E-01	330	2.09E+05	7.14E-03	1.16E-05	7.28E-03	1.82E-09	1.64E-03	8.35E-05	3.48E-04	1.57E-03	2.82E-06	3.00E-06	5.08E-04	4.31E-06	1.11E-04	3.21E-04	7.81E-05	8.46E-05	7.35E-06	1.13E-04	1.52E-09	3.42E-07	1.00E-14
